id_instrumento,id_emisor,id_tipo_inversion,codigo_titulo,nombre,fecha_emision,fecha_vencimiento,tasa_referencial,rendimiento_nominal,codigo_seb,codigo_bce,fechas_recuperacion,vector_precio,activo,fecha_creacion,fecha_actualizacion
1,142,5,INV_5_20270830,"AGRO SILVIA MARIA AGROSYLMA 2027-08-30",NULL,2027-08-30,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
2,129,1,INV_1_20200331,"Pacífico 2020-03-31",2020-02-26,2020-03-31,4.95000000,4.95000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
3,150,75,INV_75_20281212,"NUEVO TRANSPORTE 2028-12-12",2023-06-12,2028-12-12,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
4,129,1,INV_1_20200703,"Pacífico 2020-07-03",2020-06-03,2020-07-03,5.17000000,5.17000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
5,141,3,INV_3_20220113,"Superdeporte 2022-01-13",NULL,2022-01-13,9.32000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
6,129,1,INV_1_20201215,"Pacífico 2020-12-15",2020-10-30,2020-12-15,4.67000000,4.67000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
7,128,1,INV_1_20210115,"2020-06-16 Diners 2021-01-15",2020-06-16,2021-01-15,8.16000000,8.16000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
8,139,4,INV_4_20271018,"2023-10-18 BONOS DEL ESTADO 2027-10-18",2023-10-18,2027-10-18,4.71000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
9,139,4,INV_4_20320517,"2023-05-17 BONOS DEL ESTADO 2032-05-17",2023-05-17,2032-05-17,6.21000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
10,148,5,INV_5_20280303,"CORPETROLSA 2028-03-03",NULL,2028-03-03,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
11,139,4,INV_4_20331118,"2024-11-18 BONOS DEL ESTADO 2033-11-18",2024-11-18,2033-11-18,6.21000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
12,139,4,INV_4_20291018,"2023-10-18 BONOS DEL ESTADO 2029-10-18",2023-10-18,2029-10-18,5.36000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
13,140,2,INV_2_20210512,"2020-12-16 MOLSANDO MOLINOS - DANEC 2021-05-12",2020-12-16,2021-05-12,8.94000000,8.94000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
14,139,4,INV_4_20301227,"2022-12-27 BONOS DEL ESTADO 2030-12-27",2022-12-27,2030-12-27,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
15,146,5,INV_5_20271210,"EMPAGRAN 2027-12-10",NULL,2027-12-10,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
16,143,5,INV_5_20221220,"Comandato 2022-12-20",NULL,2022-12-20,8.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
17,139,4,INV_4_20340508,"2025-05-08 BONOS DEL ESTADO 2034-05-08",2025-05-08,2034-05-08,7.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
18,136,5,INV_5_20251118,"PRODUCTORA CARTONERA S.A. 2025-11-18 2025-11-18",NULL,2025-11-18,8.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
19,131,2,INV_2_20191201,"2019-07-10 VECTORQUIM CÍA. LTDA. 2019-12-01",2019-07-10,2019-12-01,8.75000000,8.75000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
20,139,4,INV_4_20301228,"2022-12-28 BONOS DEL ESTADO 2030-12-28",2022-12-28,2030-12-28,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
21,130,2,INV_2_20210627,"2020-12-16 CARTIMEX S. A. 2021-06-27",2020-12-16,2021-06-27,9.12000000,9.12000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
22,139,4,INV_4_20301215,"2022-12-15 BONOS DEL ESTADO 2030-12-15",2022-12-15,2030-12-15,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
23,141,3,INV_3_20210825,"Superdeporte 2021-08-25",NULL,2021-08-25,8.77000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
24,134,2,INV_2_20191213,"2019-10-25 CIMEXPORT S.A. 2019-12-13",2019-10-25,2019-12-13,7.27000000,7.27000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
25,14,73,INV_73_20341231,"BRIKAPITAL 2034-12-31",2024-02-01,2034-12-31,6.00000000,12.45000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:14:42"
26,151,5,INV_5_20280205,"TELCONET 2028-02-05",2025-02-05,2028-02-05,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
27,152,5,SEB_-,"BLUE ENERGY 2033-03-11",2026-03-11,2033-03-11,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
28,139,4,INV_4_20311227,"2022-12-27 BONOS DEL ESTADO 2031-12-27",2022-12-27,2031-12-27,6.21000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
29,146,5,INV_5_20280408,"EMPAGRAN 2028-04-08",2025-04-08,2028-04-08,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
30,139,4,INV_4_20300524,"2023-05-24 BONOS DEL ESTADO 2030-05-24",2023-05-24,2030-05-24,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
31,135,2,INV_2_20200902,"2020-03-20 SURPAPEL 2020-09-02",2020-03-20,2020-09-02,9.00000000,9.00000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
32,137,2,INV_2_20201028,"2020-07-07 REPAPERS RECICLAJE DEL ECUADOR SA 2020-10-28",2020-07-07,2020-10-28,8.09000000,8.09000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
33,136,5,INV_5_20240113,"PRODUCTORA CARTONERA S.A. 2024-01-13 2024-01-13",NULL,2024-01-13,8.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
34,147,5,INV_5_20260622,"FUROIANI 2026-06-22 2026-06-22",NULL,2026-06-22,8.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
35,136,2,INV_2_20201022,"2020-06-02 PRODUCTORA CARTONERA S.A. 2020-10-22",2020-06-02,2020-10-22,9.01000000,9.01000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
36,139,4,INV_4_20291228,"2022-12-28 BONOS DEL ESTADO 2029-12-28",2022-12-28,2029-12-28,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
37,136,2,INV_2_20201213,"2020-07-03 PRODUCTORA CARTONERA S.A. 2020-12-13",2020-07-03,2020-12-13,8.45000000,8.45000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
38,139,4,INV_4_20311202,"2024-12-02 BONOS DEL ESTADO 2031-12-02",2024-12-02,2031-12-02,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
39,139,4,INV_4_20261018,"2023-10-18 BONOS DEL ESTADO 2026-10-18",2023-10-18,2026-10-18,4.30000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
40,139,4,INV_4_20201201,"2013-12-01 BONOS DEL ESTADO 2020-12-01",2013-12-01,2020-12-01,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
41,137,2,INV_2_20201028,"2020-07-06 REPAPERS RECICLAJE DEL ECUADOR SA 2020-10-28",2020-07-06,2020-10-28,8.09000000,8.09000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
42,130,2,INV_2_20210613,"2020-12-29 CARTIMEX S. A. 2021-06-13",2020-12-29,2021-06-13,9.06000000,9.06000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
43,139,4,INV_4_20320905,"2025-09-05 BONOS DEL ESTADO 2032-09-05",2025-09-05,2032-09-05,7.54000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
44,131,2,INV_2_20200705,"2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-05",2020-02-20,2020-07-05,9.16000000,9.16000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
45,139,4,INV_4_20250524,"2023-05-24 BONOS DEL ESTADO 2025-05-24",2023-05-24,2025-05-24,3.82000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
46,139,4,INV_4_20330711,"2023-07-11 BONOS DEL ESTADO 2033-07-11",2023-07-11,2033-07-11,6.50000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
47,132,2,INV_2_20201126,"2020-07-14 INDUGEM - INDUSTRIAL GEMINIS 2020-11-26",2020-07-14,2020-11-26,8.89000000,8.89000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
48,130,2,INV_2_20200814,"2020-02-20 CARTIMEX S. A. 2020-08-14",2020-02-20,2020-08-14,8.97000000,8.97000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
49,130,2,INV_2_20200821,"2020-03-13 CARTIMEX S. A. 2020-08-21",2020-03-13,2020-08-21,8.58000000,8.58000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
50,151,5,INV_5_20280509,"TELCONET 2028-05-09",2025-05-09,2028-05-09,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
51,139,4,INV_4_20311204,"2024-12-04 BONOS DEL ESTADO 2031-12-04",2024-12-04,2031-12-04,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
52,139,4,INV_4_20330806,"2025-08-06 BONOS DEL ESTADO 2033-08-06",2025-08-06,2033-08-06,7.72000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
53,139,4,INV_4_20320725,"2024-07-25 BONOS DEL ESTADO 2032-07-25",2024-07-25,2032-07-25,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
54,131,2,INV_2_20200221,"2019-10-25 VECTORQUIM CÍA. LTDA. 2020-02-21",2019-10-25,2020-02-21,9.02000000,9.02000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
55,130,2,INV_2_20210219,"2020-09-02 CARTIMEX S. A. 2021-02-19",2020-09-02,2021-02-19,9.01000000,9.01000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
56,138,2,INV_2_20210614,"2020-12-17 INTEROC S.A. 2021-06-14",2020-12-17,2021-06-14,9.04000000,9.04000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
57,151,5,INV_5_20310113,"TELCONET 2031-01-13",2026-01-13,2031-01-13,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
58,131,2,INV_2_20200411,"2019-12-02 VECTORQUIM CÍA. LTDA. 2020-04-11",2019-12-02,2020-04-11,9.01000000,9.01000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
59,131,2,INV_2_20200412,"2019-12-02 VECTORQUIM CÍA. LTDA. 2020-04-12",2019-12-02,2020-04-12,9.22000000,9.22000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
60,131,2,INV_2_20200704,"2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-04",2020-02-20,2020-07-04,9.22000000,9.22000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
61,131,2,INV_2_20200713,"2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-13",2020-02-20,2020-07-13,9.22000000,9.22000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
62,131,2,INV_2_20200718,"2020-02-20 VECTORQUIM CÍA. LTDA. 2020-07-18",2020-02-20,2020-07-18,9.22000000,9.22000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
63,151,5,INV_5_20290121,"TELCONET 2029-01-21",2026-01-21,2029-01-21,9.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
64,139,4,INV_4_20330725,"2024-07-25 BONOS DEL ESTADO 2033-07-25",2024-07-25,2033-07-25,6.21000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
65,139,4,INV_4_20300928,"2022-09-28 BONOS DEL ESTADO 2030-09-28",2022-09-28,2030-09-28,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
66,135,2,INV_2_20201211,"2020-07-20 SURPAPEL 2020-12-11",2020-07-20,2020-12-11,8.93000000,8.93000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
67,137,2,INV_2_20201124,"2020-06-02 REPAPERS RECICLAJE DEL ECUADOR SA 2020-11-24",2020-06-02,2020-11-24,9.01000000,9.01000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
68,130,2,INV_2_20210212,"2020-08-21 CARTIMEX S. A. 2021-02-12",2020-08-21,2021-02-12,9.08000000,9.08000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
69,128,1,INV_1_20140425,"2014-03-26 Diners 2014-04-25",2014-03-26,2014-04-25,3.70000000,3.70000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
70,130,2,INV_2_20201129,"2020-07-07 CARTIMEX S. A. 2020-11-29",2020-07-07,2020-11-29,8.46000000,8.46000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
71,132,2,INV_2_20200102,"2019-08-16 INDUGEM - INDUSTRIAL GEMINIS 2020-01-02",2019-08-16,2020-01-02,8.75000000,8.75000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
72,128,1,INV_1_20200217,"2019-01-03 Diners 2020-02-17",2019-01-03,2020-02-17,3.30000000,3.30000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
73,139,4,INV_4_20310517,"2023-05-17 BONOS DEL ESTADO 2031-05-17",2023-05-17,2031-05-17,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
74,128,1,INV_1_20140526,"2014-03-26 Diners 2014-05-26",2014-03-26,2014-05-26,4.40000000,4.40000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
75,141,3,INV_3_20210830,"Superdeporte 2021-08-30",NULL,2021-08-30,8.76000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
76,130,2,INV_2_20210227,"2020-09-07 CARTIMEX S. A. 2021-02-27",2020-09-07,2021-02-27,9.13000000,9.13000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
77,142,5,INV_5_20241204,"AGRO SILVIA MARIA AGROSYLMA 2024-12-04 2024-12-04",NULL,2024-12-04,8.00000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
78,130,2,INV_2_20201227,"2020-08-14 CARTIMEX S. A. 2020-12-27 1",2020-08-14,2020-12-27,8.79000000,8.79000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
79,130,2,INV_2_20210224,"2020-09-02 CARTIMEX S. A. 2021-02-24",2020-09-02,2021-02-24,9.03000000,9.03000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
80,139,4,INV_4_20290627,"2022-06-27 BONOS DEL ESTADO 2029-06-27",2022-06-27,2029-06-27,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
81,139,4,INV_4_20301106,"2025-11-06 BONOS DEL ESTADO 2030-11-06",2025-11-06,2030-11-06,7.13000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
82,130,2,INV_2_20210613,"2020-12-04 CARTIMEX S. A. 2021-06-13",2020-12-04,2021-06-13,9.02000000,9.02000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
83,128,1,INV_1_20191230,"2019-06-07 Diners 2019-12-30",2019-06-07,2019-12-30,0.00000000,0.00000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
84,135,2,INV_2_20200905,"2020-03-20 SURPAPEL 2020-09-05",2020-03-20,2020-09-05,9.02000000,9.02000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
85,139,4,INV_4_20260426,"2023-04-26 BONOS DEL ESTADO 2026-04-26",2023-04-26,2026-04-26,4.30000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
86,129,1,INV_1_20200221,"Pacifico 2020-02-21",2019-01-22,2020-02-21,3.33000000,3.33000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
87,139,4,INV_4_20290703,"2023-07-03 BONOS DEL ESTADO 2029-07-03",2023-07-03,2029-07-03,5.36000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
88,139,4,INV_4_20300828,"2024-08-28 BONOS DEL ESTADO 2030-08-28",2024-08-28,2030-08-28,5.36000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
89,128,1,INV_1_20190607,"2018-03-14 Diners 2019-06-07",2018-03-14,2019-06-07,6.30000000,6.30000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
90,128,1,INV_1_20181212,"2017-12-12 Diners 2018-12-12",2017-12-12,2018-12-12,5.75000000,5.75000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
91,128,1,INV_1_20180706,"2018-05-10 Diners 2018-07-06",2018-05-10,2018-07-06,2.00000000,2.00000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
92,128,1,INV_1_20191202,"2018-04-09 Diners 2019-12-02",2018-04-09,2019-12-02,6.45000000,6.45000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
93,136,2,INV_2_20201214,"2020-07-06 PRODUCTORA CARTONERA S.A. 2020-12-14",2020-07-06,2020-12-14,8.50000000,8.50000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
94,139,4,INV_4_20340806,"2025-08-06 BONOS DEL ESTADO 2034-08-06",2025-08-06,2034-08-06,7.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
95,128,1,INV_1_20180314,"2016-12-19 Diners 2018-03-14",2016-12-19,2018-03-14,6.75000000,6.75000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
96,128,1,INV_1_20171211,"2016-11-10 Diners 2017-12-11",2016-11-10,2017-12-11,6.70000000,6.70000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
97,128,1,INV_1_20180509,"2017-05-09 Diners 2018-05-09",2017-05-09,2018-05-09,5.70000000,5.70000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
98,6,73,INV_73_20341231,"PRODUBANCO 2034-12-31",2025-08-01,2034-12-31,1.00000000,1.00000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
99,135,2,INV_2_20210720,"2021-02-17 SURPAPEL 2021-07-20",2021-02-17,2021-07-20,8.63000000,8.63000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
100,128,1,INV_1_20180409,"2017-01-13 Diners 2018-04-09",2017-01-13,2018-04-09,6.45000000,6.45000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
101,139,4,INV_4_20290517,"2023-05-17 BONOS DEL ESTADO 2029-05-17",2023-05-17,2029-05-17,5.36000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
102,128,1,INV_1_20170113,"2016-01-08 Diners 2017-01-13",2016-01-08,2017-01-13,7.30000000,7.30000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
103,128,1,INV_1_20200107,"2019-02-15 Diners 2020-01-07",2019-02-15,2020-01-07,0.00000000,0.00000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
104,128,1,INV_1_20190904,"2018-04-13 Diners 2019-09-04",2018-04-13,2019-09-04,6.35000000,6.35000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 08:59:34"
105,139,4,INV_4_20310725,"2024-07-25 BONOS DEL ESTADO 2031-07-25",2024-07-25,2031-07-25,5.64000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
106,139,4,INV_4_20320627,"2024-06-27 BONOS DEL ESTADO 2032-06-27",2024-06-27,2032-06-27,5.93000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
107,133,2,INV_2_20200209,"2019-09-30 DITEINCORP S.A 2020-02-09",2019-09-30,2020-02-09,8.75000000,8.75000000,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-04-03 09:18:18"
108,144,5,INV_5_20231129,"Boyacá 2023-11-29 2023-11-29",NULL,2023-11-29,8.20000000,NULL,NULL,NULL,NULL,NULL,1,"2026-03-30 02:40:24","2026-03-30 02:40:24"
